panel_hgnc_id,panel_id,hgnc_id
498,1,HGNC:29521
499,1,HGNC:19849
500,1,HGNC:25443
501,1,HGNC:24338
502,1,HGNC:1241
503,1,HGNC:1242
504,1,HGNC:1243
505,1,HGNC:1245
506,1,HGNC:14344
507,1,HGNC:1246
508,1,HGNC:1247
509,1,HGNC:1248
510,1,HGNC:24564
511,1,HGNC:26799
512,1,HGNC:1318
513,1,HGNC:26255
514,1,HGNC:1323
515,1,HGNC:1324
516,1,HGNC:1331
517,1,HGNC:1339
518,1,HGNC:1346
519,1,HGNC:1352
520,1,HGNC:1353
521,1,HGNC:1354
522,1,HGNC:1358
523,1,HGNC:28337
524,1,HGNC:1371
525,1,HGNC:1373
526,1,HGNC:1375
527,1,HGNC:1377
528,1,HGNC:1382
529,1,HGNC:24187
530,1,HGNC:1385
531,1,HGNC:1386
532,1,HGNC:1388
533,1,HGNC:1389
534,1,HGNC:1390
535,1,HGNC:1391
536,1,HGNC:1392
537,1,HGNC:1393
538,1,HGNC:1394
539,1,HGNC:1395
540,1,HGNC:1396
541,1,HGNC:1397
542,1,HGNC:1399
543,1,HGNC:1400
544,1,HGNC:20202
545,1,HGNC:1402
546,1,HGNC:1404
547,1,HGNC:1424
548,1,HGNC:17601
549,1,HGNC:23494
550,1,HGNC:1442
551,1,HGNC:1445
552,1,HGNC:1449
553,1,HGNC:1455
554,1,HGNC:1460
555,1,HGNC:1461
556,1,HGNC:1462
557,1,HGNC:1463
558,1,HGNC:1464
559,1,HGNC:19946
560,1,HGNC:18806
561,1,HGNC:19721
562,1,HGNC:1476
563,1,HGNC:1477
564,1,HGNC:11182
565,1,HGNC:1480
566,1,HGNC:1482
567,1,HGNC:6743
568,1,HGNC:16393
569,1,HGNC:16446
570,1,HGNC:16391
571,1,HGNC:27089
572,1,HGNC:1493
573,1,HGNC:25695
574,1,HGNC:1497
575,1,HGNC:1499
576,1,HGNC:1500
577,1,HGNC:1502
578,1,HGNC:1504
579,1,HGNC:1509
580,1,HGNC:1512
581,1,HGNC:1513
582,1,HGNC:1514
583,1,HGNC:1515
584,1,HGNC:1516
585,1,HGNC:17116
586,1,HGNC:1527
587,1,HGNC:1529
588,1,HGNC:9688
589,1,HGNC:33742
590,1,HGNC:1539
591,1,HGNC:1541
592,1,HGNC:1542
593,1,HGNC:4268
594,1,HGNC:1550
595,1,HGNC:1307
596,1,HGNC:30237
597,1,HGNC:29253
598,1,HGNC:29426
599,1,HGNC:32700
600,1,HGNC:28178
601,1,HGNC:26185
602,1,HGNC:28033
603,1,HGNC:28909
604,1,HGNC:28295
605,1,HGNC:25079
606,1,HGNC:25244
607,1,HGNC:26090
608,1,HGNC:24856
609,1,HGNC:18111
610,1,HGNC:18782
611,1,HGNC:29937
612,1,HGNC:14153
613,1,HGNC:25367
614,1,HGNC:26282
615,1,HGNC:25523
616,1,HGNC:19967
617,1,HGNC:1568
618,1,HGNC:10618
619,1,HGNC:10632
620,1,HGNC:21708
621,1,HGNC:12771
622,1,HGNC:1582
623,1,HGNC:1583
624,1,HGNC:1591
625,1,HGNC:18576
626,1,HGNC:28434
627,1,HGNC:1603
628,1,HGNC:1606
629,1,HGNC:1618
630,1,HGNC:1628
631,1,HGNC:1630
632,1,HGNC:17013
633,1,HGNC:1631
634,1,HGNC:1632
635,1,HGNC:1633
636,1,HGNC:1639
637,1,HGNC:18171
638,1,HGNC:1677
639,1,HGNC:11922
640,1,HGNC:17635
641,1,HGNC:1653
642,1,HGNC:14258
643,1,HGNC:16692
644,1,HGNC:1663
645,1,HGNC:1667
646,1,HGNC:1673
647,1,HGNC:1674
648,1,HGNC:1675
649,1,HGNC:1678
650,1,HGNC:11919
651,1,HGNC:11935
652,1,HGNC:6953
653,1,HGNC:2665
654,1,HGNC:1689
655,1,HGNC:11937
656,1,HGNC:1698
657,1,HGNC:1699
658,1,HGNC:1700
659,1,HGNC:1701
660,1,HGNC:1705
661,1,HGNC:1706
662,1,HGNC:1707
663,1,HGNC:16892
664,1,HGNC:1713
665,1,HGNC:1718
666,1,HGNC:1723
667,1,HGNC:1728
668,1,HGNC:1736
669,1,HGNC:1738
670,1,HGNC:1739
671,1,HGNC:1744
672,1,HGNC:16783
673,1,HGNC:14628
674,1,HGNC:14629
675,1,HGNC:1748
676,1,HGNC:1750
677,1,HGNC:1754
678,1,HGNC:1759
679,1,HGNC:13733
680,1,HGNC:1762
681,1,HGNC:14550
682,1,HGNC:26929
683,1,HGNC:1770
684,1,HGNC:1733
685,1,HGNC:8749
686,1,HGNC:19338
687,1,HGNC:1773
688,1,HGNC:18672
689,1,HGNC:1777
690,1,HGNC:1779
691,1,HGNC:1780
692,1,HGNC:11411
693,1,HGNC:1785
694,1,HGNC:1786
695,1,HGNC:1787
696,1,HGNC:1788
697,1,HGNC:17104
698,1,HGNC:1802
699,1,HGNC:24576
700,1,HGNC:1805
701,1,HGNC:1806
702,1,HGNC:31948
703,1,HGNC:1833
704,1,HGNC:1836
705,1,HGNC:1848
706,1,HGNC:24609
707,1,HGNC:15945
708,1,HGNC:2550
709,1,HGNC:1850
710,1,HGNC:3231
711,1,HGNC:3230
712,1,HGNC:29213
713,1,HGNC:1856
714,1,HGNC:1857
715,1,HGNC:17272
716,1,HGNC:24866
717,1,HGNC:28514
